# of Events	Location	Team Name	Nickname	Team #	OPR Rank	Max OPR	ChampionshipDivision	CentralIllinois	Palmetto	Alamo	GreaterTorontoWest	InlandEmpire	MICenterLine	MISouthfield	NEGraniteState	PNWAuburnMountainview	MARMtOlive	MARHatboroHorsham	Israel	GreaterTorontoEast	Arkansas	SanDiego	Crossroads	LakeSuperior	NorthernLights	HubCity	NEUNH	CentralValley	MIKetteringU	MIGullLake	PNWOregonCity	PNWGlacierPeak	NEGroton	MexicoCity	Sacramento	Orlando	GreaterKansasCity	St.Louis	NorthCarolina	NewYorkTechValley	Dallas	Utah	NEWPI	MIEscanaba	MIHowell	MARSpringsideChestnutHill	PNWEasternWashingtonU	PNWMt.Vernon	MARClifton	Waterloo	Montreal	Arizona	LosAngeles	Boilermaker	Buckeye	Virginia	Wisconsin	MIWestMichigan	MIGreatLakesBayRegion	MITraverseCity	PNWWilsonville	NERhodeIsland	PNWShorewood	NESouthington	MARLenape-Seneca	NorthBay	Peachtree	Hawaii	Minnesota10000Lakes	MinnesotaNorthStar	SBPLILongIsland	FingerLakes	QueenCity	Oklahoma	GreaterPittsburgh	SmokyMountains	GreaterDC	NENortheasternU	MILivonia	MISt.Joseph	MIWaterford	PNWAuburn	PNWCentralWashingtonU	NEHartford	MARBridgewaterRaritan	WesternCanada	WindsorEssexGreatLakes	SiliconValley	Colorado	SouthFlorida	Midwest	Bayou	Chesapeake	LasVegas	NewYorkCity	LoneStar	NEPineTree	MiLansing	MIBedford	MITroy	PNWOregonStateU	NewEnglandRegion	MichiganState	AutodeskPNW	MidAtlanticRegion	Archimedes	Curie	Galileo	Newton
																																																																																																													
4	Grandville, MI USA	Grandville Public Schools/Steelcase/CISCO/Hepfer & Associates & Grandville High School	More RoboDawgs	216	984	35.8														14.5756575629859																									1.3125268961974														35.7679392269621																											7.2301950007048																							
2	West Salem, WI USA	West Salem High School	Power of the Panther	5019	985	35.8	Archimedes																																																														19.5661670794782																																					35.7576229834213			
2	Geneva, IL USA	The Lable Printers/MayTech/Burgess Norton/All State-Dan Ross Agency & Geneva Community High School	Robovikes	3067	986	35.7																																																	14.4400160862791																																				35.7386294799009																		
3	Middletown, DE USA	2014 FRC Rookie Grant / Whitestone Capital / Saviak Technologies, Inc. / Middletown High School / University of Delaware Cooperative Extention & Delaware 4-H Youth Organization	4-H Palindrome Robotics	4954	987	35.7												35.6753351871569																															25.0207970235166																																																								19.5482863507146				
2	Traverse City, MI USA	St. Francis High School	Imprimis Deo	4398	988	35.7								24.4425456269377																																														35.6558319577433																																																	
1	Palmyra, NY USA	Xerox/JRLON/ALPCO Recycling, Inc/Napa Magnum Auto Parts/Constellation Energy & Palmyra-Macedon High School	Raider Robotics	1518	989	35.6																																																																		35.5782764238762																																					
1	Tempe, AZ USA	ON Semiconductor / US Digital Designs / Honeywell & Tempe Preparatory Academy	All Knights	3944	990	35.6																																														35.5760593367434																																																									
2	Severn, MD USA	Battelle / The Heacock Family / Leidos / AFCEA & Archbishop Spalding High School	Cavaliers	4541	991	35.6																																																																							35.5720351159235																18.1318799809187																
2	Phoenix, AZ USA	NRG / United Technologies Corporation / Freeport McMoran / Medical Intelligence Consultants, LLC / The Law Office of Jillian Kong-Sivert / Airpark Signs & Graphics / Alcoa / Go Daddy! / Microchip Technology, Inc. / American Metals Company & Bioscience High School	The Dragons	2375	992	35.5						35.5052063658171																																								28.9394459084269																																																									
3	Chula Vista, CA USA	NAVAIR North Island / National Defense Education Program / Qualcomm / Booz Allen Hamilton Inc. / Eastlake Educational Foundation -EEF- / BAE Systems San Diego Ship Repair, Inc. & Eastlake High School	TitanBOT	2543	993	35.5050086975098	Curie															35.5050092513829																																																																			28.9135299974627																		8.0990376663044		
3	Battle Creek, MI USA	DENSO & Lakeview High School	Q Branch	4327	994	35.5																								27.2792736535246																												10.5921119904718																																								35.4776198406261											
1	Roswell, GA USA	Robotic Explorers	Gravity Loop	5004	995	35.5																																																													35.4696888491556																																										
1	San Diego, CA USA	Teradata / ViaSat / BAE Systems / Northrop Grumman Corp. / Nextivity / Qualcomm & Rancho Bernardo High School	Team Pedestrian	2658	996	35.5																35.4506540038244																																																																																							
2	Durham, NH USA	University of New Hampshire Space Grant & Oyster River High School	River's Edge Robotics	3499	997	35.4																					35.4474141758866																																																			2.802600330312																															
1	Chicago, IL USA	NDEP/National Defense Education Program/Friends of Rickover & Rickover Naval Academy	SeaBots	3110	998	35.4																																																																																					35.4101272445755																		
3	Tucson, AZ USA	M3 Engineering/Hanlon Engineering/Caid Automation/IBM/Famers Insurance & Sonoran Science Academy	CRUSH	1011	999	35.4	Galileo																																													6.6139575709665																																					35.3860771663909																			28.7186648504868	
1	Parsons, KS USA	Parsons Area Community Foundation/Taylor Products & Parsons High School	Parsons Vikings	1448	1000	35.3																																																																				35.2843961345702																																			
2	Portland, OR USA	The Boeing Company / Voodoo Doughnuts / State of Oregon / jcpenney / Autodesk & US Grant High School	Generals	3636	1001	35.2613334655762																									0.0152429240852																														35.2613348977358																																																
1	Chaska, MN USA	Lake Region Medical/Stratasys/Exlar/Avtec Finishing/jcpenney & Southwest Christian High School	Warehouse Crew	3299	1002	35.2																																																															35.2310861019734																																								
1	Shawnee, OK USA	MetalTech Inc/Georg Fischer-Central Plastics, LLC/Harrison Discount Pharmacy/jcpenney/Oklahoma Office Systems & Shawnee High School	Robopack	3247	1003	35.1																																																																				35.1167808104071																																			
1	Calgary, AB Canada	Pillar Projects / Upside Engineering & CALGARY CHRISTIAN SCHOOL	ROBO-KAOS	5078	1004	35.1																																																																																35.090002921022																							
2	San Jose, CA USA	Qualcomm / TechShop / Intuitive Surgical, Inc. / PTC / The Trimberger Family Foundation / Brin Wojcicki Foundation / NASA / Google & Notre Dame High School	The Janksters	1967	1005	35.0						35.0321439652002																																																																												29.7112109739726																					
1	Kocaeli, 41 Turkey	STFA / Ozyegin University / Caterpillar / Topcam Makine / Vorne / VOGTEXTILE / AVL & Inanc High School	IMC	4191	1006	35.0																																																																																					35.0132003550559																		
1	Dallas, TX USA	Harmony Science Academy Dallas High School	Dallas Robo Tigers	3282	1007	35.0																																			35.0106649300925																																																																				
1	Anaheim, CA USA	The Boeing Company/MAES/Raytheon & Anaheim High School	towne_d@auhsd.us	1438	1008	35.0																																															35.0009534037935																																																								
2	Eagar, AZ USA	Science Foundation Arizona & Round Valley High School	elkSPLOSION	4985	1009	35.0	Galileo																																													2.3613905582021																																																								34.9917607573286	
2	Manchester, NH USA	BURNDY/Dyn/4-H & Manchester High School West & Goffstown High School	The PowerKnights	501	1010	35.0																					30.505234865128																																																			34.9797395742191																															
2	Detroit, MI USA	Marvin L. Winans Academy of Performing Arts	Sparks	5073	1011	35.0							18.094132443122																																																																				34.9547703595388																												
1	Columbus, OH USA	jcpenney/AEP & Worthington Kilbourne High School	WorBots	4145	1012	34.9																																																																			34.9152747495541																																				
2	Liberty Township, OH USA	Noxsel-Waddell Foundation / Rockwell Automation / Alexander & Associates / Toyota Motor Engineering & Manufacturing North America, Inc / Northrop Grumman Xetron / P & G / K&K Precision, Inc / Wirtz Trucking & Rigging / Polar Air / Terraqua Club / HB2Web, LLC / Forest Fair Village / Lakota Robotics, LLC / Lakota Robotics Boosters & Lakota East High School	Thunderhawks	1038	1013	34.9																	28.4447046671486																																																		34.8521606808503																																				
1	Rochester, NY USA	Xerox Corporation & Our Lady of Mercy	Xcentrics	2340	1014	34.8																																																																		34.8054922738032																																					
2	Fort Worth, TX USA	Hagans Plastics / Horizon Tech / Frank W Neal & Associates / Lockheed Martin Aerospace / University of Texas Arlington, Research Institute & Nolan Catholic High School	Robo Vikes	4206	1015	34.8																				-10.7083964382868															34.7985789832144																																																																				
2	Colchester, CT USA	Dominion Nuclear Connecticut Inc. / United Technologies & Bacon Academy	Robocats	1699	1016	34.8																											34.7980486929489																															28.7005666826096																																													
2	Wiesbaden (US School), HE Germany	Wiesbaden Community Spouses Club/BAE Systems/United States Air Force/Veterans of Foreign Wars Post 27/Society of American Military Engineers/Igus Inc./Robotronix, Italy/Method Park/INCOSE/US Army Corp of Engineers/Air Force Association/Department of Defense Education Activity & Wiesbaden High School	RoboWarriors	3011	1017	34.8																10.3518611860035																																																																								34.7819497935664															
3	orange, NJ USA	Orange High School Tornadoes	Tornadoes	4035	1018	34.7											5.9902043118123																																10.1721765402658																																																								34.7432399675948				
2	Malverne, NY USA	Malverne High School	Mechanical Mules	884	1019	34.7	Galileo																																																																9.7613962072063																																					34.7314618112273	
2	Ann Arbor, MI USA	Maker Works/Chrysler Foundation/University of Michigan/Toyota Technical Center/NXP & Ann Arbor Huron High School	Rat Pack	830	1020	34.7																								34.6926588846167																																																	16.3984048428992																														
1	Niceville, FL USA	NDEP/National Defense Education Program/National Defense Industrial Association/Boeing/BAE Systems & CHOICE IT Institute Niceville High School	RadioActive Roaches	2556	1021	34.7																														34.6902065729446																																																																									
1	Austell, GA USA	jcpenney & South Cobb High School	Raptors	4193	1022	34.7																																																													34.6514637206008																																										
2	Sperry, OK USA	AEP-PSO / Oklahoma State Department of Education / DaVco Mechanical / Dale and Lee's Service / Herrington Foundation / Samson Resources / Kirk Foster / Green Country ShirtnSign / Exchange Bank & Sperry Public Schools	Robot Pirates	2388	1023	34.6															34.6321226023843																																																					31.6457533342818																																			
1	Kansas City, MO USA	NASA/Boeing/Burns & McDonnell/Honeywell FM&T LLC/Cerner/Kauffman Foundation/Center HS PTA & Center High School	Robo-Jackets	1827	1024	34.6																															34.5773200459922																																																																								
2	Lake Ronkonkoma, NY USA	RETLIF TESTING LABORATORIES/CHECK-MATE INDUSTRIES, INC./D&D DEVELOPMENT GROUP INC./AIRWELD/Sachem Central School District/Sachem Robotics Team 263 Booster Club & Sachem	Sachem Aftershock	263	1025	34.4																																																	26.9322726256659																34.3506797600425																																						
3	San Francisco, CA USA	Bot & Dolly/Lowell Alumni Association/Lowell PTSA/Brin-Wojcicki Foundation/jcpenney/Bechtel Corporation/Samsung & Lowell High School	CardinalBotics	4159	1026	34.3	Curie																					30.6606078386573							34.3388092054632																																																																								25.3982559367264		
2	Saginaw, MI USA	Saginaw High School	Team Trobot	4382	1027	34.3																							34.3290837258186																														22.7676004405639																																																		
2	Modesto, CA USA	Beyer High School/Subway/Modesto Irrigation District & Fred C. Beyer	Beyer Robotics	4135	1028	34.3																						5.4623116441019							34.3106514579251																																																																										
2	Bolton, MA USA	Nashoba Regional HS	Robo Chiefs	1768	1029	34.3																																					21.1516169397442																					34.2708448956114																																													
2	Red Wing, MN USA	Red Wing High School	Winger Tech	5299	1030	34.263484954834	Archimedes																	34.2634832839984																																																																																		27.176260836433			
2	San Jose, CA USA	Harker Foundation / Gorilla Metals & The Harker School	Harker Robotics	1072	1031	34.3																						17.0306891272027																																																												34.2528721813836																					
1	Binyamina, Z Israel	ARAN / pfizer / PTC & ORT Binyamina High School	Orbit	1690	1032	34.2													34.2444934596702																																																																																										
3	Bridgeport, CT USA	Bridgeport Public Schools/Schick Wilkinson Sword/BlackBerry/United Technologies/Connecticut Innovations & Warren Harding High School & 4-H	Hard Botties	3634	1033	34.2																											12.6258988830927																															15.0758092737492																				34.152969306236																									
2	Everett, WA USA	The Boeing Company & Archbishop Murphy High School	Murphy's law	4681	1034	34.1																										34.1267645471295																															20.4443153139028																																														
1	Muncie, IN USA	Meridian Services & Muncie-Delaware County Schools	PhyXTGears	1720	1035	34.1																																																34.1242049469766																																																							
2	Killeen, TX USA	Shadetree Mechanics Inc. / NASA / Best Buy Childrens Foundation / Northrop Grumman & Shadetree Mechanics Inc.	Shadetree Robotics	3999	1036	34.1				30.0470794150863																																																																																						34.113122163186													
1	Clearfield, PA USA	NASA & Penn State Extension in Clearfield County	4-H DEADLOX	4484	1037	34.1																																																																					34.1018821354155																																		
2	Gainesville, FL USA	AMK Research & Saint Francis Catholic High School	Wolfbotics	5145	1038	34.0811004638672	Galileo																													34.0810987870328																																																																								30.9573922727057	
2	Sewell, NJ USA	Rowan University College of Engineering & GCIT	Cyberstorm	3151	1039	34.0												24.101157764442																																															34.0190408668742																																												
2	Colonie, NY USA	The Foundation for Engineering Education/GE Volunteers/Armory Automotive/AFE Industries, Inc/Center for Automation Technologies and Systems (CATS) at RPI/Metal Supermarkets & Colonie Central High School	Dynamos	250	1040	34.0																																		33.9924943279785																																28.7280919885442																																					
1	Tel Aviv, TA Israel	Tel Aviv Municipality/Bank Hapoalim & Eroni Chet	Eroni Chet	1576	1041	34.0													33.9789980731266																																																																																										
1	Delray Beach, FL USA	NASA/Motorola Solutions Foundation & Atlantic Community High School	Eagles Robotics Xperience	3992	1042	33.9																																																																																				33.9312133116639																			
2	Ventura, CA USA	Ventura County ROP/Amgen/jcpenney/Haas Automation/Sessa Mfg./Pump Services Company & Ventura High School & Buena High School & Foothill Technology & Pacific High School & El Camino High School & Villanova Prep & Oxnard High	Circuit of Life	3925	1043	33.9						24.4588100720202																							33.928422617072																																																																										
3	Sammamish, WA USA	The Boeing Company/Issaquah Schools Foundation & Skyline High School	Spartabots	2976	1044	33.9																										17.2130487315639																																																		21.1804273037833																						33.9043190810742					
3	Janesville, WI USA	Automation Solutions of America/JCPenney/Clinton Aluminum/University of Wisconsin Platteville/University of Wisconsin Rock County/Blackhawk Technical College/Rock County Robotics Club/TheCreeds.Net & Parker High School & Craig High School & Milton High School	Rock'n'Robots	3692	1045	33.8643379211426	Curie																	25.3691275148705																																	25.6046889547974																																																		33.864338515306		
2	Orcutt, CA USA	General Dynamics / Lockheed Martin / Melfred Borzall / PG&E Corp / EnergyPartners Fund / United Launch Alliance / Enerpro / FLIR Inc. / Softec, Inc. & Orcutt Academy High School	Spartatroniks	3512	1046	33.8																						15.5379401228142																									33.8482920062813																																																								
3	Langdon, NH USA	First Robotics Competition / Whelen Engineering / M & W Soils Engineering, Inc / OPIE, Inc & Fall Mountain Regional High School	Robocats	4958	1047	33.8																					30.4151257210392																																																									33.8217684673843																		14.9420592830461							
1	Holtville, CA USA	Imperial Valley Mesa Program/Â“2014 FRC Hardship GrantÂ” & Holtville High School	FUTURE Dinos	3491	1048	33.7986946105957																33.7986945237798																																																																																							
2	Dayton, WA USA	Dayton FFA	Ranching Robots	4082	1049	33.7																																									33.677559705452																																				8.8581544314988																										
2	Richmond, CA USA	Google / Intuitive Surgical / Lawrence Berkeley National Laboratory / Chevron / M. Welding Creations and Industrial Finishing / Metalco / jcpenney & Richmond High School	The BioMechs	841	1050	33.7																						17.4994236745184																																																												33.660187940556																					
2	Monterrey, NLE Mexico	Deacero horno3	Iron Lion	4977	1051	33.6	Curie																											10.8312226043338																																																																									33.6465525840678		
2	Lubbock, TX USA	Griffin Mortuary / Brandon & Clark Inc. / BAE Systems / Texas Work Force Commision / FIRST in Texas / TTU Society for Hispanic Professional Engineers / Harmon Family Farms & Estacado High School	Estacado Robodors	4570	1052	33.6																				5.3639303785285																																																																						33.6291112560926													
2	Calgary, AB Canada	Rockwell Automation/Gemini Corp & Ernest Manning High School	IRON MANNING	4627	1053	33.6														4.8241811898495																																																																		33.6210289219349																							
2	Standish, MI USA	Standish-Sterling Central High School	Panther Power	5224	1054	33.619255065918																																																					33.6192546902737																						18.3810209254554																												
3	Spokane, WA USA	Spokane Community College/Spokane Public Schools/OSPI-WA teams Office of the Superintendent of Public Instruction/Bezos Family Foundation & On Track Academy & NewTech Skills Center	On Track Academy	3789	1055	33.6																																									7.3235800928743																																				19.1039524927669																					33.5894786569433					
1	Guangzhou, 44 China	Shenzhen Second Senior High School	Grapefruit	5307	1056	33.5679130554199																																																																																										33.5679129559428													
1	Kansas City, MO USA	Aramark/Wendy's/Kastle Grinding/Durbin Tree Servic/Archbishop O'Hara Parents Club & Archbishop O'Hara High School	Cel-Techs	2346	1057	33.6																															33.5552958632593																																																																								
2	Québec, QC Canada	Power Corporation / Commission scolaire des Premières-Seigneuries / Wainbee Québec / Robotique FIRST Québec & École de la Courvilloise (Gaëtan Audet dir adjoint)	Centaures	4950	1058	33.5	Archimedes																																												6.4218908509646																																																							33.5310423306722			
1	Eyota, MN USA	NASA & Dover-Eyota	FrostBots	4651	1059	33.5																																																															33.5253819080801																																								
1	Cambridge, NY USA	Cambridge Central High School	Man O' War Robotics	5236	1060	33.5233039855957																																		33.5233042258038																																																																					
2	New Britain, CT USA	United Technologies & E.C. Goodwin Technical High School	Junkyard Battalion	3718	1061	33.5																											11.4301423727514																															33.4871186271242																																													
2	Ada, OK USA	The Chickasaw Nation	Metal Mayhem	2352	1062	33.5															6.1110394335236																																																					33.4557832315081																																			
1	Mililani, HI USA	NDEP / BAE Systems / Alternate Energy Inc / Leidos / Friends of Hawaii Robotics / McDonalds of Hawaii & Mililani High School	TroboBots	2853	1063	33.4																																																														33.4450731582556																																									
2	Sanford, MI USA	Meridian Early College High School	Mustangs	5203	1064	33.4183082580566																							21.0242405727967																														33.4183080004171																																																		
1	Laguna del Rey Coahuila, COA Mexico	PEÑOLES S.A. DE C.V. & CETLAR A.C.	CETMOV	4401	1065	33.4																												33.4167284669765																																																																											
2	Cooks, MI USA	Futuremark Manistique & Big Bay de Noc School	Big Bay Black Bears	4715	1066	33.4																																						30.1649258315904																33.4027836963879																																																	
1	Albany, MN USA	Argosy-BSCI / Albany Mutual Telephone / Albany JayCees / MidSota Manufacturing & Albany High School	Huskies	4226	1067	33.4																			33.3984866794951																																																																																				
1	Schenectady, NY USA	Schenectady City School District/Time Warner Cable/jcpenney/KAPL-Bechtel & Schenectady High School	The Patriots	3687	1068	33.4																																		33.351805345218																																																																					
3	Greenbelt, MD USA	NDEP/University of Maryland Robotics Center/A. James Clark School of Engineering & Team Illusion	Team Illusion	4464	1069	33.3	Newton																																																																						33.3381031413608																14.4818249171962																33.3247461309714
2	Plainwell, MI USA	Plainwell High School	Trojans	5161	1070	33.3328018188477																								4.9725514811354																												33.3328032051557																																																			
2	Long Beach, CA USA	Long Beach Polytechnic High School / NASA / The Boeing Company & Long Beach Polytechnic High School & Woodrow Wilson Classical High School & Classical Conversations Long Beach	The Golden Machine	4997	1071	33.3	Newton																																														31.5641326712331																																																								33.3295457995784
2	Holland, MI USA	Aalderink Electric / Gates Foundation / Tennant / Lakeshore Arts Alliance / Hil-Man Automation / Allegan Metal Fab / Omni Die and engineering / Randy's Carpet Care / Firetech / Hamilton Block & Holland area Home School FIRST Robotics	Code Blue	3458	1072	33.3																																																				17.8518673970932																						33.2802999581012																													
1	Danville, VA USA	Noblis Center for Applied High Performance Computing/Danville Public Schools Gifted Resources/Virginia International Raceway/Jarrett Welding & George Washington High School	Team Talon	1598	1073	33.2																																																		33.2032436940911																																																					
1	Seneca, SC USA	Oconee County 4H	First Noble Team	4452	1074	33.2			33.201400717368																																																																																																				
2	Bellevue, WA USA	The Boeing Company/Microsoft/Bellevue Schools Foundation & Interlake High School	Saints Robotics	1899	1075	33.2																										30.4642432108392																															33.1945223908873																																														
2	Torreon, COA Mexico	MET MEX PEÑOLES, S.A. DE C.V. & Tec de Monterrey Campus Laguna	ROULT	4403	1076	33.1751365661621																												33.1751370954101																																																								32.8075091957152																			
3	Orlando, FL USA	Magnus Hi-Tech / Lockheed Martin / BAE Systems / Electronic Arts / Disney VoluntEARS / Stage Equipment and Lighting / PTC / Central Florida Chapter Fluid Power Society / Publix Charities / Menchies / Firehouse Subs of Clermont Florida / Simsol / Elise Cronin-Hurley Web & Graphic Design & 4-H Exploding Bacon Robotics Club, 4-H of Orange County, FL	Exploding Bacon	1902	1077	33.2	Curie																													16.9879286444762																																																						33.1602591111338																	33.0962929396077		
2	Edwardsburg, MI USA	Edwardsburg High School	The Iron Giants	5069	1078	33.1																																																				33.1335102209068																						18.774171571542																													
2	Dublin, OH USA	OSU FIRST/Dublin Robotics Boosters & Dublin City Schools	Bad Robots	1014	1079	33.1	Newton																30.815662300163																																																																																						33.127467075861
1	Manassas, VA USA	NASA / Orbital Sciences / Lockheed Martin / BAE Systems / Micron Technology / SPARK Education Foundation / Osbourn Park High School / Pro-Type Industries, INC. & Prince William County Public Schools	SuperNOVA	4472	1080	33.1																																																		33.1104198329013																																																					
2	Litchfield, NH USA	Litchfield School District/Praxair Foundation/BAE SYSTEMS/Schneider Electric & Campbell High School	Potential Energy	3323	1081	33.1									19.5926755672496												33.0995918599549																																																																																		
2	Diamond Bar, CA USA	Team Sprocket / The Boeing Company / Raytheon / Prime Supply Inc / TYC Genera Co. / Solidwoks / Instek America Corp / Prudential Realty / Walnut Valley Ed Foundation / DBHS Magnificent 7 Families / DBHS Leo Club / Diamond Bar Sr. Citizens Club / The Jack& Wanda Tanaka Family / Gard's Music & Diamond Bar High School	Team Sprocket	3473	1082	33.1						33.0931288774079																																																																																		30.0617551146832															
2	Chickasha, OK USA	Continental Resources / Ross Health Care / HSI Sensing / Big State X-Ray / Ultrathin / Oklahoma Department of Education / Tinker Air Force Base / LaForge Properties / First National Bank / American Electric Power / University of Arts and Sciences of Oklahoma & Chickasha High School	Cockadoodle Dominators	3931	1083	33.1																				9.4715821482346																																																33.089255491403																																			
1	Two Harbors, MN USA	NASA / 3M Foundation / Cliffs Foundation / Applied Learning Institute / LaBounty Family Fund / HDR Engineering / Stanley LaBounty Agate Robotics / Krech Ojard and Associates / Hahn Machinery / HydroSolutions of Duluth & Two Harbors High School	Rock Solid Robotics	4656	1084	33.1																			33.0790658329694																																																																																				
2	Burlington, ON Canada	2014 FRC Rookie Grant & Robert Bateman	The Wildebots	4902	1085	33.0253753662109			20.9563434538406																																																									33.0253739728683																																											
2	Dearbor n, MI USA	Advanced Technology Academy	ATA	4390	1086	32.9786224365234																																							11.4563337172876																																		32.9786238049346																														
2	Bastrop, TX USA	Texas Workforce Commission / Greater Texas Foundation & Bastrop High School BearTecs	BearTecs	4610	1087	32.9				5.1363378913371																																																																																						32.9276885992297													
3	Montclair, NJ USA	Judy and Josh Weston/Montclair Fund for Educational Excellence/Montclair Society of Engineers & Montclair Board of Education	Montclair Robotics	555	1088	32.9											14.3652373580884																																25.9533649831011																																						32.8500555395783																						
2	Otsego, MI USA	Otsego Public Schools	Alotobots	5152	1089	32.8277130126953																								15.9228239560968																																																		32.8277138115359																													
1	Toronto, ON Canada	First Robotics Administrator & TDSB & Etobicoke Collegiate Institute	RAMAZOIDZ	2185	1090	32.8					32.797517494495																																																																																																		
2	Philadelphia, PA USA	The Boeing Company/Environmental Tectonics Corp/Airline Hydraulics/Crown Holdings Inc./Comcast & Father Judge High School	Environmental Tectonics Crusaders	3167	1091	32.8												2.5592377691864																																															32.757587971619																																												
2	Kennett Square, PA USA	Kennett Education Foundation & Kennett High School	Demon Robotics	4342	1092	32.7												4.1870277285344																												32.7245652436505																																																															
2	Coleman, MI USA	Coleman Community Schools	CometKaze	5257	1093	32.7145538330078																																																					19.5029455737316																																							32.714555118457											
2	Lakewood, WA USA	OSPI & Clover Park High School	Clover Park High School Warriors	3576	1094	32.6										11.7430426659556																																																																		32.6097978310573																											
3	Redmond, WA USA	DigiPen Institute of Technology & WaNIC & L & E Academy	FIRST DRaFT	4559	1095	32.6										27.3357314790873																																															18.2056375029388																																									32.5763979586968					
1	Kapolei, HI USA	BAE SYSTEMS / HECO / Chevron / Structural Solutions / Hawaii State Department of Education Learning Centers Program / Robotics Organizing Committee & Friends of Hawaii Robotics / Territorial Savings Bank / James and Abigail Campbell Family Foundation & Kapolei High School	RoboKAP	2445	1096	32.5																																																														32.5194226613308																																									
2	Clarksville, MD USA	The Cleaning Authority / The Reidy Family / PTC / Howard County Public School System / BAE Systems / Sony / Bowles Fluidics / The Walmart Foundation / Kendall Hardware & River Hill High School	The Incredible Hawk	4067	1097	32.5																																																																							31.4391034808935																32.5099186768231																
1	Kansas City, MO USA	Park Hill High School	Trobots	5013	1098	32.5																															32.4942574325294																																																																								
3	Vancouver, WA USA	U.S. Digital/The Boeing Company/GrainCorp/UTC-United Technology/Rockwell Collins/Plastics Northwest/Platt Electric/OctoberBest Regional High-Tech Show/Coast Aluminum & Evergreen Public Schools	Green Wrenches	2517	1099	32.5																									0.0203049550123																														32.4751273506866																																								3.4971830502878								
2	Milton, ON Canada	Craig Kielburger Secondary School	Spartans	4992	1100	32.4297676086426																																												10.554496628838																32.4297679229374																																											
2	Duluth, MN USA	Archer Racing/Stewart Taylor Printing/Saturn Systems/Kiwanis of Friendly Duluth/Minnesota Power/F.I.Salter/Lake Superior Consulting/Iron Artz/National Bank of Commerce & Duluth East High School	Duluth East Daredevils	2512	1101	32.4250411987305																			32.4250427809488																																30.3719044242815																																																				
2	Erie, PA USA	GE Volunteers/PTR Group & McDowell High School	The Red Barons	63	1102	32.4																																																	8.780831342936																																						32.3930009403816																
1	Franklin, TN USA	Underwriters Laboratory/Synergy Bank/Growtech/Adam Clayton/Tom Begley/Parent Teacher Organization & Franklin High School	RoboKomodos	4306	1103	32.4																	32.3895966185531																																																																																						
1	Lake City, FL USA	PotashCorp White Springs / Atkins Global / TIMCO Aviation Services / Crews Engineering Services, LLC / Trademark Construction Group, Inc. / jcpenney & Columbia High School	GET SMART	3556	1104	32.4																														32.3625395378119																																																																									
1	Midland, TX USA	jcpenney/Timothy A. and Amy B. Leach Charitable Fund/Exploration Geophysics & Midland Classical Academy	Hot Bots	3497	1105	32.3																				32.3303673643113																																																																																			
2	Seattle, WA USA	The Boeing Company & Cleveland High School	Electric Eagles	3684	1106	32.2																										32.2434026927071																																																		2.2219763303245																											
1	Kearney, MO USA	Kearney School Distrtict / EPIC Electric / Kansas City STEM Alliance / Kearney Education Foundation / Cole Printing / Kearney Commercial Bank / Westbrook Care Center / CTS / Platte Clay Electric & Kearney High School	Animal Control	2345	1107	32.2																															32.2180888563162																																																																								
2	Macon, GA USA	RoboBibb Alliance	RoboBibb	4941	1108	32.2	Newton																																																												27.7966871362871																																										32.1573790174222
2	everett, MA USA	NASA / NationalGrid & Everett High School	crimson tide	3479	1109	32.1																					32.0950705777953																																																			28.5068342531741																															
2	Lasalle, QC Canada	Vigilant Global/Youth Fusion/Lester B. Pearson School Board & LaSalle Community Comprehensive High School	Sonic Howl	3985	1110	32.0317802429199														15.1032221702609																															32.0317783379784																																																										
2	Rockwall, TX USA	Special Products and Manufacturing/The PTR Group/Park Place & Rockwall Independent School District & Rockwall High School	Full Metal Jackets	1296	1111	32.0																																			32.0039347035218																																	15.3585455084736																																			
2	Inver Grove Heights, MN USA	St. Jude Medical Foundation & Simley High School	Spartans	2518	1112	32.0																			14.9703675701938																																												31.9580511859247																																								
1	Midlothian, VA USA	Dominion / Northrop Grumman Corp. / DuPont & Midlothian High School	MidloCANics	1541	1113	32.0																																																		31.9542911147961																																																					
1	Los Angeles, CA USA	Raytheon / Aerospace Corporation / 2014 FRC Hardship Grant / Walker Corporation & King Drew High School	Cyber Eagles	606	1114	31.9																																															31.9480545078312																																																								
1	Brooklyn, NY USA	Bloomberg / The Port Authority of NY & NJ & George Westinghouse High School	G-House Pirates	354	1115	31.9																																																																																									31.9334541634519														
2	Marquette, MI USA	Huron Mountain Club / Exchange Club Of Marquette / Marquette County Youth Advisory Committee / Robert Eric Daniel Soderberg Fund / Marquette Breakfast Rotary / Marquette County Community Foundation / MAPS Education Foundation / Marquette Rotary / Superior Dental, Carla Skaates, D.D.S. / Classic Auto Collision / Hanna Forster Families / Superior Blue Link / Frei Chevrolet of Marquette / Midway Rental & Marquette Area Public Schools	Cold Logic	3617	1116	31.9																																						16.3647765217391																																				31.9333257379914																													
2	King, ON Canada	Mantella Venture Partners / 2014 FRC Rookie Grant & The Country Day School	Cyclones	4951	1117	31.9					31.9260417561567																																																							-1.6104954239886																																											
2	Negaunee, MI USA	Negaunee High School	Minerbotics	4827	1118	31.9																																						31.9167682915564																28.1035325424487																																																	
